order_id,customer_id,order_date,order_status,payment_id
1,6913,2022-07-31,Returned,1
2,3884,2020-09-08,Pending,2
3,13859,2021-10-06,Pending,3
4,11860,2020-10-09,Cancelled,4
5,3848,2021-01-23,Completed,5
6,1607,2020-01-09,Pending,6
7,6245,2021-03-30,Returned,7
8,6789,2023-07-04,Completed,8
9,13589,2022-01-20,Completed,9
10,8660,2021-08-10,Cancelled,10
11,18455,2022-07-21,Completed,11
12,6721,2023-02-06,Cancelled,12
13,17043,2023-03-24,Completed,13
14,14082,2021-07-03,Completed,14
15,14250,2023-04-25,Completed,15
16,16921,2022-10-11,Returned,16
17,2428,2022-09-02,Completed,17
18,6123,2021-06-16,Cancelled,18
19,9042,2021-10-14,Cancelled,19
20,4925,2020-08-03,Completed,20
21,18476,2020-12-26,Completed,21
22,10901,2023-12-12,Returned,22
23,9575,2021-02-04,Completed,23
24,1677,2020-06-25,Pending,24
25,4404,2021-04-17,Completed,25
26,7964,2022-11-13,Cancelled,26
27,11353,2023-09-27,Completed,27
28,15534,2024-01-03,Cancelled,28
29,4456,2021-11-15,Completed,29
30,5111,2022-05-10,Completed,30
31,3126,2023-06-01,Completed,31
32,4763,2021-07-08,Completed,32
33,18767,2022-03-11,Completed,33
34,14941,2021-11-05,Completed,34
35,6239,2020-12-25,Completed,35
36,16699,2021-02-16,Completed,36
37,8680,2020-12-09,Completed,37
38,13687,2022-10-10,Completed,38
39,13330,2022-12-27,Completed,39
40,6973,2023-11-21,Completed,40
41,16359,2020-07-24,Cancelled,41
42,8879,2022-10-08,Pending,42
43,18376,2023-01-14,Completed,43
44,2928,2023-07-01,Pending,44
45,17829,2020-01-30,Pending,45
46,12325,2021-03-25,Cancelled,46
47,10157,2021-11-23,Returned,47
48,3020,2023-12-20,Completed,48
49,17897,2020-08-16,Completed,49
50,8091,2021-08-28,Completed,50
51,15663,2020-08-25,Completed,51
52,9216,2022-04-14,Completed,52
53,1951,2023-03-23,Completed,53
54,18703,2023-09-02,Completed,54
55,14518,2022-03-21,Completed,55
56,1733,2020-12-14,Completed,56
57,631,2023-05-21,Completed,57
58,10521,2021-12-31,Completed,58
59,3084,2020-12-31,Completed,59
60,6129,2021-05-26,Returned,60
61,11529,2021-06-25,Completed,61
62,14973,2020-05-10,Completed,62
63,6437,2022-05-16,Returned,63
64,6281,2020-03-14,Completed,64
65,12485,2022-02-04,Completed,65
66,8105,2023-10-15,Completed,66
67,3308,2020-01-08,Completed,67
68,6533,2022-07-13,Completed,68
69,10164,2023-10-22,Completed,69
70,12965,2021-07-02,Completed,70
71,14140,2020-05-26,Completed,71
72,9179,2021-06-22,Returned,72
73,16897,2022-10-02,Completed,73
74,9722,2023-11-29,Completed,74
75,16001,2021-05-23,Completed,75
76,17102,2023-02-17,Pending,76
77,11049,2024-01-10,Completed,77
78,19905,2023-01-03,Completed,78
79,9197,2023-02-19,Completed,79
80,41,2023-03-24,Pending,80
81,3930,2023-05-14,Completed,81
82,3176,2020-11-21,Completed,82
83,14701,2022-01-09,Completed,83
84,5361,2021-07-14,Completed,84
85,3332,2020-03-11,Completed,85
86,12546,2020-02-13,Returned,86
87,15610,2021-01-15,Completed,87
88,9182,2021-11-28,Completed,88
89,5935,2020-01-09,Completed,89
90,6430,2021-05-06,Completed,90
91,16739,2021-12-19,Completed,91
92,15617,2020-10-24,Completed,92
93,9530,2022-05-13,Returned,93
94,1859,2024-01-04,Completed,94
95,11259,2020-11-24,Completed,95
96,13229,2022-02-19,Cancelled,96
97,14641,2022-04-25,Completed,97
