product_id,product_name,category,sub_category,brand,price,stock_quantity
1,Product_1,Clothing,Men,Brand_70,264.65,777
2,Product_2,Beauty,Skincare,Brand_35,201.19,104
3,Product_3,Clothing,Kids,Brand_80,249.3,557
4,Product_4,Beauty,Haircare,Brand_54,187.98,733
5,Product_5,Home,Furniture,Brand_34,32.37,429
6,Product_6,Home,Kitchen,Brand_10,291.85,814
7,Product_7,Sports,Outdoor,Brand_35,309.91,421
8,Product_8,Beauty,Skincare,Brand_21,238.12,820
9,Product_9,Electronics,Laptops,Brand_91,150.1,213
10,Product_10,Beauty,Makeup,Brand_60,277.36,923
11,Product_11,Beauty,Skincare,Brand_44,319.6,332
12,Product_12,Clothing,Kids,Brand_95,169.41,787
13,Product_13,Clothing,Kids,Brand_72,297.07,949
14,Product_14,Sports,Equipment,Brand_81,474.1,944
15,Product_15,Beauty,Haircare,Brand_83,363.29,680
16,Product_16,Electronics,Laptops,Brand_68,455.45,285
17,Product_17,Home,Furniture,Brand_31,324.62,236
18,Product_18,Home,Kitchen,Brand_76,435.16,503
19,Product_19,Home,Decor,Brand_32,152.75,416
20,Product_20,Sports,Fitness,Brand_17,212.44,367
21,Product_21,Beauty,Haircare,Brand_92,454.63,920
22,Product_22,Home,Furniture,Brand_59,388.01,138
23,Product_23,Sports,Outdoor,Brand_86,273.65,626
24,Product_24,Sports,Outdoor,Brand_86,256.7,327
25,Product_25,Home,Decor,Brand_44,382.08,128
26,Product_26,Beauty,Haircare,Brand_49,111.22,754
27,Product_27,Electronics,Mobiles,Brand_22,203.64,556
28,Product_28,Sports,Equipment,Brand_31,67.52,806
29,Product_29,Beauty,Makeup,Brand_71,69.3,924
30,Product_30,Electronics,Laptops,Brand_70,83.2,963
31,Product_31,Home,Furniture,Brand_71,30.65,576
32,Product_32,Home,Decor,Brand_66,461.23,447
33,Product_33,Electronics,Accessories,Brand_55,433.36,568
34,Product_34,Sports,Fitness,Brand_97,24.79,959
35,Product_35,Clothing,Women,Brand_68,87.02,727
36,Product_36,Home,Kitchen,Brand_4,352.18,343
37,Product_37,Home,Kitchen,Brand_22,164.34,513
38,Product_38,Home,Kitchen,Brand_55,289.06,310
39,Product_39,Beauty,Skincare,Brand_38,188.07,816
40,Product_40,Electronics,Accessories,Brand_72,332.52,359
41,Product_41,Electronics,Accessories,Brand_32,239.87,78
42,Product_42,Sports,Equipment,Brand_45,108.75,983
43,Product_43,Sports,Fitness,Brand_63,276.5,179
44,Product_44,Clothing,Kids,Brand_35,336.14,601
45,Product_45,Home,Kitchen,Brand_60,208.43,58
46,Product_46,Sports,Fitness,Brand_12,346.04,953
47,Product_47,Clothing,Men,Brand_36,370.11,944
48,Product_48,Home,Furniture,Brand_68,298.72,367
49,Product_49,Sports,Equipment,Brand_71,442.8,976
50,Product_50,Home,Kitchen,Brand_36,432.01,487
51,Product_51,Home,Furniture,Brand_71,331.97,888
52,Product_52,Beauty,Skincare,Brand_64,484.27,810
53,Product_53,Electronics,Accessories,Brand_10,392.22,150
54,Product_54,Home,Decor,Brand_88,487.95,947
55,Product_55,Beauty,Skincare,Brand_89,129.16,955
56,Product_56,Home,Kitchen,Brand_98,234.11,508
57,Product_57,Home,Kitchen,Brand_93,482.57,957
58,Product_58,Sports,Fitness,Brand_55,38.54,796
59,Product_59,Home,Decor,Brand_2,378.87,476
60,Product_60,Electronics,Accessories,Brand_45,208.68,233
61,Product_61,Electronics,Accessories,Brand_7,252.8,863
62,Product_62,Clothing,Women,Brand_13,414.05,910
63,Product_63,Electronics,Laptops,Brand_58,293.43,652
64,Product_64,Sports,Outdoor,Brand_89,447.16,490
65,Product_65,Clothing,Men,Brand_33,303.97,189
66,Product_66,Sports,Outdoor,Brand_71,345.58,774
67,Product_67,Home,Furniture,Brand_29,427.46,444
68,Product_68,Home,Furniture,Brand_53,294.33,840
69,Product_69,Beauty,Makeup,Brand_55,160.14,526
70,Product_70,Sports,Outdoor,Brand_36,343.78,802
71,Product_71,Clothing,Women,Brand_62,124.12,506
72,Product_72,Clothing,Kids,Brand_94,215.26,442
73,Product_73,Beauty,Makeup,Brand_34,406.94,364
74,Product_74,Sports,Outdoor,Brand_54,124.08,777
75,Product_75,Home,Kitchen,Brand_18,22.59,777
76,Product_76,Electronics,Mobiles,Brand_28,358.04,474
77,Product_77,Sports,Equipment,Brand_48,311.39,304
78,Product_78,Clothing,Women,Brand_6,489.63,968
79,Product_79,Beauty,Makeup,Brand_37,246.31,749
80,Product_80,Electronics,Mobiles,Brand_96,199.95,347
81,Product_81,Sports,Outdoor,Brand_57,451.97,528
82,Product_82,Sports,Fitness,Brand_30,10.91,461
83,Product_83,Sports,Fitness,Brand_36,92.49,529
84,Product_84,Home,Kitchen,Brand_14,258.31,723
85,Product_85,Beauty,Haircare,Brand_48,84.02,412
86,Product_86,Electronics,Accessories,Brand_25,429.96,406
87,Product_87,Clothing,Kids,Brand_6,430.09,899
88,Product_88,Beauty,Makeup,Brand_85,330.92,609
89,Product_89,Home,Kitchen,Brand_10,180.55,530
90,Product_90,Beauty,Makeup,Brand_93,233.54,51
91,Product_91,Sports,Equipment,Brand_48,324.02,733
92,Product_92,Clothing,Men,Brand_39,75.18,224
93,Product_93,Beauty,Skincare,Brand_59,328.83,651
94,Product_94,Beauty,Haircare,Brand_84,301.29,676
95,Product_95,Beauty,Makeup,Brand_48,268.13,674
