Product_Id,Product_Name,Category,Sub_Category,Brand,Price,Stock_Quantity
1,Product 1,Clothing,Men,Brand 70,264.65,777
2,Product 2,Beauty,Skincare,Brand 35,201.19,104
3,Product 3,Clothing,Kids,Brand 80,249.30,557
4,Product 4,Beauty,Haircare,Brand 54,187.98,733
5,Product 5,Home,Furniture,Brand 34,32.37,429
6,Product 6,Home,Kitchen,Brand 10,291.85,814
7,Product 7,Sports,Outdoor,Brand 35,309.91,421
8,Product 8,Beauty,Skincare,Brand 21,238.12,820
9,Product 9,Electronics,Laptops,Brand 91,150.10,213
10,Product 10,Beauty,Makeup,Brand 60,277.36,923
11,Product 11,Beauty,Skincare,Brand 44,319.60,332
12,Product 12,Clothing,Kids,Brand 95,169.41,787
13,Product 13,Clothing,Kids,Brand 72,297.07,949
14,Product 14,Sports,Equipment,Brand 81,474.10,944
15,Product 15,Beauty,Haircare,Brand 83,363.29,680
16,Product 16,Electronics,Laptops,Brand 68,455.45,285
17,Product 17,Home,Furniture,Brand 31,324.62,236
18,Product 18,Home,Kitchen,Brand 76,435.16,503
19,Product 19,Home,Decor,Brand 32,152.75,416
20,Product 20,Sports,Fitness,Brand 17,212.44,367
21,Product 21,Beauty,Haircare,Brand 92,454.63,920
22,Product 22,Home,Furniture,Brand 59,388.01,138
23,Product 23,Sports,Outdoor,Brand 86,273.65,626
24,Product 24,Sports,Outdoor,Brand 86,256.70,327
25,Product 25,Home,Decor,Brand 44,382.08,128
26,Product 26,Beauty,Haircare,Brand 49,111.22,754
27,Product 27,Electronics,Mobiles,Brand 22,203.64,556
28,Product 28,Sports,Equipment,Brand 31,67.52,806
29,Product 29,Beauty,Makeup,Brand 71,69.30,924
30,Product 30,Electronics,Laptops,Brand 70,83.20,963
31,Product 31,Home,Furniture,Brand 71,30.65,576
32,Product 32,Home,Decor,Brand 66,461.23,447
33,Product 33,Electronics,Accessories,Brand 55,433.36,568
34,Product 34,Sports,Fitness,Brand 97,24.79,959
35,Product 35,Clothing,Women,Brand 68,87.02,727
36,Product 36,Home,Kitchen,Brand 4,352.18,343
37,Product 37,Home,Kitchen,Brand 22,164.34,513
38,Product 38,Home,Kitchen,Brand 55,289.06,310
39,Product 39,Beauty,Skincare,Brand 38,188.07,816
40,Product 40,Electronics,Accessories,Brand 72,332.52,359
41,Product 41,Electronics,Accessories,Brand 32,239.87,78
42,Product 42,Sports,Equipment,Brand 45,108.75,983
43,Product 43,Sports,Fitness,Brand 63,276.50,179
44,Product 44,Clothing,Kids,Brand 35,336.14,601
45,Product 45,Home,Kitchen,Brand 60,208.43,58
46,Product 46,Sports,Fitness,Brand 12,346.04,953
47,Product 47,Clothing,Men,Brand 36,370.11,944
48,Product 48,Home,Furniture,Brand 68,298.72,367
49,Product 49,Sports,Equipment,Brand 71,442.80,976
50,Product 50,Home,Kitchen,Brand 36,432.01,487
51,Product 51,Home,Furniture,Brand 71,331.97,888
52,Product 52,Beauty,Skincare,Brand 64,484.27,810
53,Product 53,Electronics,Accessories,Brand 10,392.22,150
54,Product 54,Home,Decor,Brand 88,487.95,947
55,Product 55,Beauty,Skincare,Brand 89,129.16,955
56,Product 56,Home,Kitchen,Brand 98,234.11,508
57,Product 57,Home,Kitchen,Brand 93,482.57,957
58,Product 58,Sports,Fitness,Brand 55,38.54,796
59,Product 59,Home,Decor,Brand 2,378.87,476
60,Product 60,Electronics,Accessories,Brand 45,208.68,233
61,Product 61,Electronics,Accessories,Brand 7,252.80,863
62,Product 62,Clothing,Women,Brand 13,414.05,910
63,Product 63,Electronics,Laptops,Brand 58,293.43,652
64,Product 64,Sports,Outdoor,Brand 89,447.16,490
65,Product 65,Clothing,Men,Brand 33,303.97,189
66,Product 66,Sports,Outdoor,Brand 71,345.58,774
67,Product 67,Home,Furniture,Brand 29,427.46,444
68,Product 68,Home,Furniture,Brand 53,294.33,840
69,Product 69,Beauty,Makeup,Brand 55,160.14,526
70,Product 70,Sports,Outdoor,Brand 36,343.78,802
71,Product 71,Clothing,Women,Brand 62,124.12,506
72,Product 72,Clothing,Kids,Brand 94,215.26,442
73,Product 73,Beauty,Makeup,Brand 34,406.94,364
74,Product 74,Sports,Outdoor,Brand 54,124.08,777
75,Product 75,Home,Kitchen,Brand 18,22.59,777
76,Product 76,Electronics,Mobiles,Brand 28,358.04,474
77,Product 77,Sports,Equipment,Brand 48,311.39,304
78,Product 78,Clothing,Women,Brand 6,489.63,968
79,Product 79,Beauty,Makeup,Brand 37,246.31,749
80,Product 80,Electronics,Mobiles,Brand 96,199.95,347
81,Product 81,Sports,Outdoor,Brand 57,451.97,528
82,Product 82,Sports,Fitness,Brand 30,10.91,461
83,Product 83,Sports,Fitness,Brand 36,92.49,529
84,Product 84,Home,Kitchen,Brand 14,258.31,723
85,Product 85,Beauty,Haircare,Brand 48,84.02,412
86,Product 86,Electronics,Accessories,Brand 25,429.96,406
87,Product 87,Clothing,Kids,Brand 6,430.09,899
88,Product 88,Beauty,Makeup,Brand 85,330.92,609
89,Product 89,Home,Kitchen,Brand 10,180.55,530
90,Product 90,Beauty,Makeup,Brand 93,233.54,51
91,Product 91,Sports,Equipment,Brand 48,324.02,733
92,Product 92,Clothing,Men,Brand 39,75.18,224
93,Product 93,Beauty,Skincare,Brand 59,328.83,651
94,Product 94,Beauty,Haircare,Brand 84,301.29,676
95,Product 95,Beauty,Makeup,Brand 48,268.13,674
